Identifiant;Nom du commerce;Numéro voie;Nom voie;Code postal;Nom commune;Longitude;Latitude;geo_shape;geo_point_2d
1832;ECLIPSES;0;RUE DE BEAUNE;0;;2.329322;48.857875;"{""coordinates"": [2.3293220000982036, 48.85787499930349], ""type"": ""Point""}";48.85787499930349, 2.3293220000982036
1171;NEWVISION;2;RUE DE VINTIMILLE;0;;2.328415;48.881777;"{""coordinates"": [2.3284150000831256, 48.881776998855244], ""type"": ""Point""}";48.881776998855244, 2.3284150000831256
1918;HOTEL DE LA TAMISE - ESPRIT DE FRANCE;4;RUE D ALGER;0;;2.3295324;48.8648677;"{""coordinates"": [2.329532399700693, 48.86486769940321], ""type"": ""Point""}";48.86486769940321, 2.329532399700693
1930;MICHALAK;16;RUE DE LA VERRERIE;0;;2.3549349;48.8572762;"{""coordinates"": [2.354934900355015, 48.85727619888039], ""type"": ""Point""}";48.85727619888039, 2.354934900355015
917;MAISON DES GYROS;17;RUE DE LA HUCHETTE;0;;2.345745;48.852932;"{""coordinates"": [2.345744999565162, 48.852931999151885], ""type"": ""Point""}";48.852931999151885, 2.345744999565162
926;L ATELIER DE L ART;116;AVENUE PARMENTIER;0;;2.37306;48.867513;"{""coordinates"": [2.3730600002274373, 48.867512998707454], ""type"": ""Point""}";48.867512998707454, 2.3730600002274373
988;LE BOUDOIR AUX IDEES;26;AVENUE FELIX FAURE;0;;2.289718;48.841948;"{""coordinates"": [2.289717999522416, 48.84194799940125], ""type"": ""Point""}";48.84194799940125, 2.289717999522416
1001;KAMEME CONCEPT;18;RUE GRAMME;0;;2.296173;48.844911;"{""coordinates"": [2.2961730002800453, 48.84491099945355], ""type"": ""Point""}";48.84491099945355, 2.2961730002800453
1025;DAVOLI;34;RUE CLER;0;;2.306221;48.856939;"{""coordinates"": [2.3062210004482893, 48.85693899865509], ""type"": ""Point""}";48.85693899865509, 2.3062210004482893
1034;BISTRO BELHARA;23;RUE DUVIVIER;0;;2.307355;48.856401;"{""coordinates"": [2.307355000072843, 48.8564009992814], ""type"": ""Point""}";48.8564009992814, 2.307355000072843
1067;GIOVANNA LE CLAN DES MAMMA;57;RUE DES BATIGNOLLES;0;;2.319057;48.885985;"{""coordinates"": [2.3190570002084665, 48.885984998636744], ""type"": ""Point""}";48.885984998636744, 2.3190570002084665
944;KAMEL COIFFURE;16;PLACE DE LA NATION;0;;2.395454;48.847276;"{""coordinates"": [2.3954539996385322, 48.84727599921992], ""type"": ""Point""}";48.84727599921992, 2.3954539996385322
1346;LA GRILLE;50;RUE MONTORGUEIL;0;;2.346867;48.864722;"{""coordinates"": [2.34686699990888, 48.86472199895129], ""type"": ""Point""}";48.86472199895129, 2.34686699990888
1360;MARCHE PANTHEON;12;RUE DES CARMES;0;;2.347581;48.84935;"{""coordinates"": [2.3475809995528594, 48.849349998979235], ""type"": ""Point""}";48.849349998979235, 2.3475809995528594
1459;FIBRIS;40;BOULEVARD SAINT-MARCEL;0;;2.357377;48.838758;"{""coordinates"": [2.3573769997023923, 48.8387579992334], ""type"": ""Point""}";48.8387579992334, 2.3573769997023923
1467;PUERTO INCA;6;RUE DE JOUY;0;;2.358506;48.854779;"{""coordinates"": [2.3585059996503914, 48.854778999379164], ""type"": ""Point""}";48.854778999379164, 2.3585059996503914
1472;LIBRAIRIE SOLIDAIRE;27;RUE DU CHATEAU D EAU;0;;2.359276;48.870557;"{""coordinates"": [2.3592759996337738, 48.87055699897497], ""type"": ""Point""}";48.87055699897497, 2.3592759996337738
1394;LOUTSA TOREFACTEUR;1;RUE DE BAZEILLES;0;;2.350328;48.83926;"{""coordinates"": [2.350328000295581, 48.83925999874865], ""type"": ""Point""}";48.83925999874865, 2.350328000295581
1400;LE TEMPS DES CERISES SCOP;18;RUE DE LA BUTTE AUX CAILLES;0;;2.350863;48.827923;"{""coordinates"": [2.3508630003814015, 48.82792299879225], ""type"": ""Point""}";48.82792299879225, 2.3508630003814015
1427;PLEINE MER;22;RUE DE CHABROL;0;;2.353561;48.876866;"{""coordinates"": [2.3535609993834004, 48.87686599926194], ""type"": ""Point""}";48.87686599926194, 2.3535609993834004
1433;FRANCOIS PRALUS;35;RUE RAMBUTEAU;0;;2.353787;48.861036;"{""coordinates"": [2.353786999415754, 48.86103599948194], ""type"": ""Point""}";48.86103599948194, 2.353786999415754
1172;MALOA;57;RUE DE CLICHY;0;;2.328478;48.881055;"{""coordinates"": [2.328478000255526, 48.881054998790255], ""type"": ""Point""}";48.881054998790255, 2.328478000255526
