identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
OMP75;;PERGOLA PROMENADE PEREIRE - LEBON / GUERSANT;Ombrière pérenne;Non;87B AVENUE DES TERNES;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.2905235481677795, 48.88133782693523], ""type"": ""Point""}";48.88133782693523, 2.2905235481677795;Non
OMP91;;KIOSQUE A MUSIQUE SQUARE MONSEIGNEUR MAILLET;Ombrière pérenne;Non;2 PLACE DES FETES;75019;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3933322759896463, 48.877008071049275], ""type"": ""Point""}";48.877008071049275, 2.3933322759896463;Non
PI37;3325;Piscine Jean Taris;Piscine;Oui;16 rue Thouin;75005;;du 09/09/24 au 15/09/24;-;07h00 - 13h30;07h00 - 09h00;07h00 - 09h00 / 11h30 - 14h00;07h00 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.3478671876778563, 48.844762252872464], ""type"": ""Point""}";48.844762252872464, 2.3478671876778563;Non
BI2;1744;Bibliothèque Goutte d'Or (installé au 15 rue Pierre Bourdin le temps des travaux);Bibliothèque;Non;4-6 Rue Fleury;75018;;du 03/09/24 au 30/12/24;-;13h00 - 19h00;10h00 - 18h00;13h00 - 19h00;13h00 - 19h00;10h00 - 18h00;-;"{""coordinates"": [2.354228542992574, 48.88440209551332], ""type"": ""Point""}";48.88440209551332, 2.354228542992574;Non
PI16;2931;Piscine Aspirant Dunand;Piscine;Oui;20 Rue Saillard;75014;;du 05/08/24 au 12/09/24;11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 18h00;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30 / 17h00 - 22h00;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.326198442572983, 48.83182185862016], ""type"": ""Point""}";48.83182185862016, 2.326198442572983;Non
PI2;2925;Piscine de la Cour des Lions;Piscine;Oui;9, rue Alphonse Baudin;75011;;du 09/09/24 au 20/10/24;07h00 - 08h30 / 11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30 / 17h00 - 21h00;07h00 - 08h30 / 11h30 - 18h00;11h30 - 13h30;07h00 - 08h30 / 11h30 - 13h30;07h00 - 18h00;08h00 - 18h00;"{""coordinates"": [2.370246219548752, 48.860625036670946], ""type"": ""Point""}";48.860625036670946, 2.370246219548752;Non
OMP21;;PERGOLA JARDIN DE LA FOLIE TITON;Ombrière pérenne;Non;17 RUE TITON;75011;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3856057867694953, 48.852130749039894], ""type"": ""Point""}";48.852130749039894, 2.3856057867694953;Non
OMP23;;KIOSQUE A MUSIQUE SQUARE TROUSSEAU;Ombrière pérenne;Non;6 RUE ANTOINE VOLLON;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.377131376937685, 48.85044967939647], ""type"": ""Point""}";48.85044967939647, 2.377131376937685;Non
BI19;1746;Bibliothèque Place des Fêtes;Bibliothèque;Non;18 RUE JANSSEN;75019;;à partir du 05/02/24;-;-;-;-;-;-;-;"{""coordinates"": [2.3976410739496825, 48.87940283352971], ""type"": ""Point""}";48.87940283352971, 2.3976410739496825;Non
LC35;19465;Eglise Saint-François de Sales;Lieux de culte;Non;15  RUE AMPERE;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.305013903156183, 48.884914071189634], ""type"": ""Point""}";48.884914071189634, 2.305013903156183;Non
